id,specilization_name,college_dunia_link,target_study_link,careers_360_link,course_id,status,is_deleted,created_on,created_by,updated_by,updated_on
128,Art Education,,,,13,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
129,Painting,,,,13,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
130,Sculpture,,,,13,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
134,Journalism / Mass Communication,,,,15,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
136,Veterinary Sciences,,,,16,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
139,Animation,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
142,Construction Technology,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
143,Craft Design,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
144,Creative Writing,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
145,Diary Technology,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
146,Disaster Management,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
147,DOEACC O/A/B/C Level,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
149,Electronics / Telecommunication Engg,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
150,Fashion Tech,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
151,Garment Technology,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
152,IT,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
153,Labour Laws,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
154,Nursing Administartion,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
155,Teaching,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
160,Graphic / Web Designing,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
161,Hotel Management,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
162,Insurance,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
163,Management,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
165,Tourism,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
166,Visual Arts,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
167,Vocational Course,,,,17,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
170,Law,,,,18,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
172,Medicine,,,,19,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
176,Operations,,,,27,In-active,,15-05-2023 06:29,0,0,03-01-2024 15:31
178,Marketing,,,,27,In-active,,15-05-2023 06:29,0,0,03-01-2024 15:31
180,CA,,,,30,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
181,Company Secretary,,,,31,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
182,ICWA,,,,32,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
183,Law,,,,33,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
184,Bengali,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
185,Economics,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
186,English,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
187,Fine Arts,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
188,Geography,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
189,Hindi,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
190,History,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
194,Political Science,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
195,Psycology,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
196,Public Administration,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
198,Sociology,,,,34,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
